,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,SNR,logq
WBGene00015937,665.327902355973,-3.47376250483614,0.0910379644116942,-38.1572954457439,0,0,C17H12.12,-0.00522112854809681,Inf
WBGene00016357,564.245184311801,-3.62393696579326,0.0892362697317062,-40.6105833052953,0,0,C33F10.11,-0.00642262808182103,Inf
WBGene00016399,453.939562892015,-3.30883773816887,0.0851743801189917,-38.8478053323816,0,0,C34D4.3,-0.00728915919354663,Inf
WBGene00016453,986.436879838841,3.65040633107598,0.0629364946002652,58.0014243605585,0,0,vet-2,0.00370059798623138,Inf
WBGene00016457,2094.9432253959,4.51144509804252,0.0509633165320347,88.5233812286668,0,0,C35E7.5,0.00215349277410129,Inf
WBGene00016523,771.199638363308,-3.43258145101919,0.0675952467632812,-50.7814027669741,0,0,C39B5.5,-0.00445096351225481,Inf
WBGene00016541,1108.85738079894,-3.57145711140399,0.0682847671271366,-52.3023986411851,0,0,C39H7.1,-0.00322084442350081,Inf
WBGene00016680,767.568901881716,-3.33411892682123,0.0693486722106436,-48.0776173578925,0,0,C45G9.9,-0.00434373893815598,Inf
WBGene00016898,2501.42138919496,-1.37276231506887,0.0325771586115216,-42.1387982739343,0,0,clik-2,-0.000548792906704403,Inf
WBGene00017134,2773.03580046798,1.2714715612895,0.0324928684420147,39.1307884546577,0,0,EEED8.3,0.000458512494167918,Inf
WBGene00017386,493.947165723779,-3.41080136100936,0.083848346408675,-40.6782185588395,0,0,nspd-5,-0.00690519472059634,Inf
WBGene00017548,6914.74861539374,0.94242147626779,0.0233007010555385,40.4460567096877,0,0,F18A1.7,0.000136291502220306,Inf
WBGene00017843,969.173052915757,1.6013698536383,0.0406559404100071,39.3883363043334,0,0,F26G5.1,0.00165230538428672,Inf
WBGene00017851,2025.0707397446,-3.37202931392178,0.0572325896076609,-58.9179930007993,0,0,F27C1.1,-0.00166514149246315,Inf
WBGene00017968,2510.04275873304,-1.98451060269972,0.0356492286724477,-55.6677010022797,0,0,skpo-3,-0.000790628205752724,Inf
